,Pokemon No.,Name,Type 1,Type 2,Max CP,Max HP,Image URL,path
0,1,Bulbasaur,Grass,Poison,1079,83,http://cdn.bulbagarden.net/upload/thumb/2/21/001Bulbasaur.png/250px-001Bulbasaur.png,pokeimg/Bulbasaur.png
1,2,Ivysaur,Grass,Poison,1643,107,http://cdn.bulbagarden.net/upload/thumb/7/73/002Ivysaur.png/250px-002Ivysaur.png,pokeimg/Ivysaur.png
2,3,Venusaur,Grass,Poison,2598,138,http://cdn.bulbagarden.net/upload/thumb/a/ae/003Venusaur.png/250px-003Venusaur.png,pokeimg/Venusaur.png
3,4,Charmander,Fire,,962,73,http://cdn.bulbagarden.net/upload/thumb/7/73/004Charmander.png/250px-004Charmander.png,pokeimg/Charmander.png
4,5,Charmeleon,Fire,,1568,103,http://cdn.bulbagarden.net/upload/thumb/4/4a/005Charmeleon.png/250px-005Charmeleon.png,pokeimg/Charmeleon.png
5,6,Charizard,Fire,Flying,2620,135,http://cdn.bulbagarden.net/upload/thumb/7/7e/006Charizard.png/250px-006Charizard.png,pokeimg/Charizard.png
6,7,Squirtle,Water,,1015,81,http://cdn.bulbagarden.net/upload/thumb/3/39/007Squirtle.png/250px-007Squirtle.png,pokeimg/Squirtle.png
7,8,Wartortle,Water,,1594,105,http://cdn.bulbagarden.net/upload/thumb/0/0c/008Wartortle.png/250px-008Wartortle.png,pokeimg/Wartortle.png
8,9,Blastoise,Water,,2560,137,http://cdn.bulbagarden.net/upload/thumb/0/02/009Blastoise.png/250px-009Blastoise.png,pokeimg/Blastoise.png
9,10,Caterpie,Bug,,446,83,http://cdn.bulbagarden.net/upload/thumb/5/5d/010Caterpie.png/250px-010Caterpie.png,pokeimg/Caterpie.png
10,11,Metapod,Bug,,481,91,http://cdn.bulbagarden.net/upload/thumb/c/cd/011Metapod.png/250px-011Metapod.png,pokeimg/Metapod.png
11,12,Butterfree,Bug,Flying,1465,107,http://cdn.bulbagarden.net/upload/thumb/d/d1/012Butterfree.png/250px-012Butterfree.png,pokeimg/Butterfree.png
12,13,Weedle,Bug,Poison,452,75,http://cdn.bulbagarden.net/upload/thumb/d/df/013Weedle.png/250px-013Weedle.png,pokeimg/Weedle.png
13,14,Kakuna,Bug,Poison,488,83,http://cdn.bulbagarden.net/upload/thumb/f/f0/014Kakuna.png/250px-014Kakuna.png,pokeimg/Kakuna.png
14,15,Beedrill,Bug,Poison,1450,115,http://cdn.bulbagarden.net/upload/thumb/6/61/015Beedrill.png/250px-015Beedrill.png,pokeimg/Beedrill.png
15,16,Pidgey,Normal,Flying,684,75,http://cdn.bulbagarden.net/upload/thumb/5/55/016Pidgey.png/250px-016Pidgey.png,pokeimg/Pidgey.png
16,17,Pidgeotto,Normal,Flying,1232,111,http://cdn.bulbagarden.net/upload/thumb/7/7a/017Pidgeotto.png/250px-017Pidgeotto.png,pokeimg/Pidgeotto.png
17,18,Pidgeot,Normal,Flying,2106,143,http://cdn.bulbagarden.net/upload/thumb/5/57/018Pidgeot.png/250px-018Pidgeot.png,pokeimg/Pidgeot.png
18,19,Rattata,Normal,,585,59,http://cdn.bulbagarden.net/upload/thumb/4/46/019Rattata.png/250px-019Rattata.png,pokeimg/Rattata.png
19,20,Raticate,Normal,,1454,99,http://cdn.bulbagarden.net/upload/thumb/f/f4/020Raticate.png/250px-020Raticate.png,pokeimg/Raticate.png
20,21,Spearow,Normal,Flying,691,75,http://cdn.bulbagarden.net/upload/thumb/8/8b/021Spearow.png/250px-021Spearow.png,pokeimg/Spearow.png
21,22,Fearow,Normal,Flying,1758,115,http://cdn.bulbagarden.net/upload/thumb/a/a0/022Fearow.png/250px-022Fearow.png,pokeimg/Fearow.png
22,23,Ekans,Poison,,830,67,http://cdn.bulbagarden.net/upload/thumb/f/fa/023Ekans.png/250px-023Ekans.png,pokeimg/Ekans.png
23,24,Arbok,Poison,,1779,107,http://cdn.bulbagarden.net/upload/thumb/c/cd/024Arbok.png/250px-024Arbok.png,pokeimg/Arbok.png
24,25,Pikachu,Electric,,894,67,http://cdn.bulbagarden.net/upload/thumb/0/0d/025Pikachu.png/250px-025Pikachu.png,pokeimg/Pikachu.png
25,26,Raichu,Electric,,2042,107,http://cdn.bulbagarden.net/upload/thumb/8/88/026Raichu.png/250px-026Raichu.png,pokeimg/Raichu.png
26,27,Sandshrew,Ground,,804,91,http://cdn.bulbagarden.net/upload/thumb/9/9e/027Sandshrew.png/250px-027Sandshrew.png,pokeimg/Sandshrew.png
27,28,Sandslash,Ground,,1823,130,http://cdn.bulbagarden.net/upload/thumb/0/0b/028Sandslash.png/250px-028Sandslash.png,pokeimg/Sandslash.png
28,29,Nidoran♀,Poison,,882,99,http://cdn.bulbagarden.net/upload/thumb/8/81/029Nidoran.png/250px-029Nidoran.png,pokeimg/Nidoran♀.png
29,30,Nidorina,Poison,,1414,122,http://cdn.bulbagarden.net/upload/thumb/c/cd/030Nidorina.png/250px-030Nidorina.png,pokeimg/Nidorina.png
30,31,Nidoqueen,Poison,Ground,2502,154,http://cdn.bulbagarden.net/upload/thumb/b/bf/031Nidoqueen.png/250px-031Nidoqueen.png,pokeimg/Nidoqueen.png
31,32,Nidoran♂,Poison,,849,84,http://cdn.bulbagarden.net/upload/thumb/4/4a/032Nidoran.png/250px-032Nidoran.png,pokeimg/Nidoran♂.png
32,33,Nidorino,Poison,,1382,108,http://cdn.bulbagarden.net/upload/thumb/9/9f/033Nidorino.png/250px-033Nidorino.png,pokeimg/Nidorino.png
33,34,Nidoking,Poison,Ground,2492,140,http://cdn.bulbagarden.net/upload/thumb/c/c6/034Nidoking.png/250px-034Nidoking.png,pokeimg/Nidoking.png
34,35,Clefairy,Fairy,,1209,122,http://cdn.bulbagarden.net/upload/thumb/f/f4/035Clefairy.png/250px-035Clefairy.png,pokeimg/Clefairy.png
35,36,Clefable,Fairy,,2414,162,http://cdn.bulbagarden.net/upload/thumb/a/a9/036Clefable.png/250px-036Clefable.png,pokeimg/Clefable.png
36,37,Vulpix,Fire,,837,72,http://cdn.bulbagarden.net/upload/thumb/6/60/037Vulpix.png/250px-037Vulpix.png,pokeimg/Vulpix.png
37,38,Ninetales,Fire,,2203,127,http://cdn.bulbagarden.net/upload/thumb/0/05/038Ninetales.png/250px-038Ninetales.png,pokeimg/Ninetales.png
38,39,Jigglypuff,Normal,Fairy,924,194,http://cdn.bulbagarden.net/upload/thumb/3/3e/039Jigglypuff.png/250px-039Jigglypuff.png,pokeimg/Jigglypuff.png
39,40,Wigglytuff,Normal,Fairy,2192,233,http://cdn.bulbagarden.net/upload/thumb/9/92/040Wigglytuff.png/250px-040Wigglytuff.png,pokeimg/Wigglytuff.png
40,41,Zubat,Poison,Flying,647,75,http://cdn.bulbagarden.net/upload/thumb/d/da/041Zubat.png/250px-041Zubat.png,pokeimg/Zubat.png
41,42,Golbat,Poison,Flying,1935,130,http://cdn.bulbagarden.net/upload/thumb/0/0c/042Golbat.png/250px-042Golbat.png,pokeimg/Golbat.png
42,43,Oddish,Grass,Poison,1156,83,http://cdn.bulbagarden.net/upload/thumb/4/43/043Oddish.png/250px-043Oddish.png,pokeimg/Oddish.png
43,44,Gloom,Grass,Poison,1701,107,http://cdn.bulbagarden.net/upload/thumb/2/2a/044Gloom.png/250px-044Gloom.png,pokeimg/Gloom.png
44,45,Vileplume,Grass,Poison,2510,130,http://cdn.bulbagarden.net/upload/thumb/6/6a/045Vileplume.png/250px-045Vileplume.png,pokeimg/Vileplume.png
45,46,Paras,Bug,Grass,923,67,http://cdn.bulbagarden.net/upload/thumb/d/d4/046Paras.png/250px-046Paras.png,pokeimg/Paras.png
46,47,Parasect,Bug,Grass,1759,107,http://cdn.bulbagarden.net/upload/thumb/8/80/047Parasect.png/250px-047Parasect.png,pokeimg/Parasect.png
47,48,Venonat,Bug,Poison,1036,107,http://cdn.bulbagarden.net/upload/thumb/a/ad/048Venonat.png/250px-048Venonat.png,pokeimg/Venonat.png
48,49,Venomoth,Bug,Poison,1903,122,http://cdn.bulbagarden.net/upload/thumb/d/d3/049Venomoth.png/250px-049Venomoth.png,pokeimg/Venomoth.png
49,50,Diglett,Ground,,460,27,http://cdn.bulbagarden.net/upload/thumb/3/31/050Diglett.png/250px-050Diglett.png,pokeimg/Diglett.png
50,51,Dugtrio,Ground,,1176,67,http://cdn.bulbagarden.net/upload/thumb/e/e5/051Dugtrio.png/250px-051Dugtrio.png,pokeimg/Dugtrio.png
51,52,Meowth,Normal,,761,75,http://cdn.bulbagarden.net/upload/thumb/d/d6/052Meowth.png/250px-052Meowth.png,pokeimg/Meowth.png
52,53,Persian,Normal,,1643,115,http://cdn.bulbagarden.net/upload/thumb/1/13/053Persian.png/250px-053Persian.png,pokeimg/Persian.png
53,54,Psyduck,Water,,1117,91,http://cdn.bulbagarden.net/upload/thumb/5/53/054Psyduck.png/250px-054Psyduck.png,pokeimg/Psyduck.png
54,55,Golduck,Water,,2403,138,http://cdn.bulbagarden.net/upload/thumb/f/fe/055Golduck.png/250px-055Golduck.png,pokeimg/Golduck.png
55,56,Mankey,Fighting,,884,75,http://cdn.bulbagarden.net/upload/thumb/4/41/056Mankey.png/250px-056Mankey.png,pokeimg/Mankey.png
56,57,Primeape,Fighting,,1877,115,http://cdn.bulbagarden.net/upload/thumb/9/9a/057Primeape.png/250px-057Primeape.png,pokeimg/Primeape.png
57,58,Growlithe,Fire,,1344,99,http://cdn.bulbagarden.net/upload/thumb/3/3d/058Growlithe.png/250px-058Growlithe.png,pokeimg/Growlithe.png
58,59,Arcanine,Fire,,3005,154,http://cdn.bulbagarden.net/upload/thumb/b/b8/059Arcanine.png/250px-059Arcanine.png,pokeimg/Arcanine.png
59,60,Poliwag,Water,,801,75,http://cdn.bulbagarden.net/upload/thumb/4/49/060Poliwag.png/250px-060Poliwag.png,pokeimg/Poliwag.png
60,61,Poliwhirl,Water,,1350,115,http://cdn.bulbagarden.net/upload/thumb/a/a9/061Poliwhirl.png/250px-061Poliwhirl.png,pokeimg/Poliwhirl.png
61,62,Poliwrath,Water,Fighting,2523,154,http://cdn.bulbagarden.net/upload/thumb/2/2d/062Poliwrath.png/250px-062Poliwrath.png,pokeimg/Poliwrath.png
62,63,Abra,Psychic,,604,51,http://cdn.bulbagarden.net/upload/thumb/6/62/063Abra.png/250px-063Abra.png,pokeimg/Abra.png
63,64,Kadabra,Psychic,,1140,75,http://cdn.bulbagarden.net/upload/thumb/9/97/064Kadabra.png/250px-064Kadabra.png,pokeimg/Kadabra.png
64,65,Alakazam,Psychic,,1826,99,http://cdn.bulbagarden.net/upload/thumb/c/cc/065Alakazam.png/250px-065Alakazam.png,pokeimg/Alakazam.png
65,66,Machop,Fighting,,1097,122,http://cdn.bulbagarden.net/upload/thumb/8/85/066Machop.png/250px-066Machop.png,pokeimg/Machop.png
66,67,Machoke,Fighting,,1773,138,http://cdn.bulbagarden.net/upload/thumb/8/8e/067Machoke.png/250px-067Machoke.png,pokeimg/Machoke.png
67,68,Machamp,Fighting,,2612,154,http://cdn.bulbagarden.net/upload/thumb/8/8f/068Machamp.png/250px-068Machamp.png,pokeimg/Machamp.png
68,69,Bellsprout,Grass,Poison,1125,91,http://cdn.bulbagarden.net/upload/thumb/a/a2/069Bellsprout.png/250px-069Bellsprout.png,pokeimg/Bellsprout.png
69,70,Weepinbell,Grass,Poison,1736,115,http://cdn.bulbagarden.net/upload/thumb/9/9f/070Weepinbell.png/250px-070Weepinbell.png,pokeimg/Weepinbell.png
70,71,Victreebel,Grass,Poison,2548,138,http://cdn.bulbagarden.net/upload/thumb/b/be/071Victreebel.png/250px-071Victreebel.png,pokeimg/Victreebel.png
71,72,Tentacool,Water,Poison,911,75,http://cdn.bulbagarden.net/upload/thumb/4/4e/072Tentacool.png/250px-072Tentacool.png,pokeimg/Tentacool.png
72,73,Tentacruel,Water,Poison,2236,138,http://cdn.bulbagarden.net/upload/thumb/f/f6/073Tentacruel.png/250px-073Tentacruel.png,pokeimg/Tentacruel.png
73,74,Geodude,Rock,Ground,855,75,http://cdn.bulbagarden.net/upload/thumb/9/98/074Geodude.png/250px-074Geodude.png,pokeimg/Geodude.png
74,75,Graveler,Rock,Ground,1443,99,http://cdn.bulbagarden.net/upload/thumb/7/75/075Graveler.png/250px-075Graveler.png,pokeimg/Graveler.png
75,76,Golem,Rock,Ground,2319,138,http://cdn.bulbagarden.net/upload/thumb/f/f2/076Golem.png/250px-076Golem.png,pokeimg/Golem.png
76,77,Ponyta,Fire,,1526,91,http://cdn.bulbagarden.net/upload/thumb/3/3b/077Ponyta.png/250px-077Ponyta.png,pokeimg/Ponyta.png
77,78,Rapidash,Fire,,2215,115,http://cdn.bulbagarden.net/upload/thumb/3/3f/078Rapidash.png/250px-078Rapidash.png,pokeimg/Rapidash.png
78,79,Slowpoke,Water,Psychic,1227,154,http://cdn.bulbagarden.net/upload/thumb/7/70/079Slowpoke.png/250px-079Slowpoke.png,pokeimg/Slowpoke.png
79,80,Slowbro,Water,Psychic,2615,162,http://cdn.bulbagarden.net/upload/thumb/8/80/080Slowbro.png/250px-080Slowbro.png,pokeimg/Slowbro.png
80,81,Magnemite,Electric,Steel,897,51,http://cdn.bulbagarden.net/upload/thumb/6/6c/081Magnemite.png/250px-081Magnemite.png,pokeimg/Magnemite.png
81,82,Magneton,Electric,Steel,1893,91,http://cdn.bulbagarden.net/upload/thumb/7/72/082Magneton.png/250px-082Magneton.png,pokeimg/Magneton.png
82,83,Farfetch'd,Normal,Flying,1272,94,http://cdn.bulbagarden.net/upload/thumb/f/f8/083Farfetch'd.png/250px-083Farfetch'd.png,pokeimg/Farfetch'd.png
83,84,Doduo,Normal,Flying,861,67,http://cdn.bulbagarden.net/upload/thumb/5/54/084Doduo.png/250px-084Doduo.png,pokeimg/Doduo.png
84,85,Dodrio,Normal,Flying,1849,107,http://cdn.bulbagarden.net/upload/thumb/9/93/085Dodrio.png/250px-085Dodrio.png,pokeimg/Dodrio.png
85,86,Seel,Water,,1114,115,http://cdn.bulbagarden.net/upload/thumb/1/1f/086Seel.png/250px-086Seel.png,pokeimg/Seel.png
86,87,Dewgong,Water,Ice,2161,154,http://cdn.bulbagarden.net/upload/thumb/c/c7/087Dewgong.png/250px-087Dewgong.png,pokeimg/Dewgong.png
87,88,Grimer,Poison,,1293,138,http://cdn.bulbagarden.net/upload/thumb/a/a0/088Grimer.png/250px-088Grimer.png,pokeimg/Grimer.png
88,89,Muk,Poison,,2621,178,http://cdn.bulbagarden.net/upload/thumb/7/7c/089Muk.png/250px-089Muk.png,pokeimg/Muk.png
89,90,Shellder,Water,,828,59,http://cdn.bulbagarden.net/upload/thumb/4/40/090Shellder.png/250px-090Shellder.png,pokeimg/Shellder.png
90,91,Cloyster,Water,Ice,2067,91,http://cdn.bulbagarden.net/upload/thumb/1/1d/091Cloyster.png/250px-091Cloyster.png,pokeimg/Cloyster.png
91,92,Gastly,Ghost,Poison,810,59,http://cdn.bulbagarden.net/upload/thumb/c/ca/092Gastly.png/250px-092Gastly.png,pokeimg/Gastly.png
92,93,Haunter,Ghost,Poison,1390,83,http://cdn.bulbagarden.net/upload/thumb/6/62/093Haunter.png/250px-093Haunter.png,pokeimg/Haunter.png
93,94,Gengar,Ghost,Poison,2093,107,http://cdn.bulbagarden.net/upload/thumb/c/c6/094Gengar.png/250px-094Gengar.png,pokeimg/Gengar.png
94,95,Onix,Rock,Ground,863,67,http://cdn.bulbagarden.net/upload/thumb/9/9a/095Onix.png/250px-095Onix.png,pokeimg/Onix.png
95,96,Drowzee,Psychic,,1082,107,http://cdn.bulbagarden.net/upload/thumb/3/3e/096Drowzee.png/250px-096Drowzee.png,pokeimg/Drowzee.png
96,97,Hypno,Psychic,,2199,146,http://cdn.bulbagarden.net/upload/thumb/0/0a/097Hypno.png/250px-097Hypno.png,pokeimg/Hypno.png
97,98,Krabby,Water,,797,59,http://cdn.bulbagarden.net/upload/thumb/a/a7/098Krabby.png/250px-098Krabby.png,pokeimg/Krabby.png
98,99,Kingler,Water,,1836,99,http://cdn.bulbagarden.net/upload/thumb/7/71/099Kingler.png/250px-099Kingler.png,pokeimg/Kingler.png
99,100,Voltorb,Electric,,845,75,http://cdn.bulbagarden.net/upload/thumb/d/da/100Voltorb.png/250px-100Voltorb.png,pokeimg/Voltorb.png
100,101,Electrode,Electric,,1657,107,http://cdn.bulbagarden.net/upload/thumb/8/84/101Electrode.png/250px-101Electrode.png,pokeimg/Electrode.png
101,102,Exeggcute,Grass,Psychic,1107,107,http://cdn.bulbagarden.net/upload/thumb/a/af/102Exeggcute.png/250px-102Exeggcute.png,pokeimg/Exeggcute.png
102,103,Exeggutor,Grass,Psychic,2976,162,http://cdn.bulbagarden.net/upload/thumb/2/24/103Exeggutor.png/250px-103Exeggutor.png,pokeimg/Exeggutor.png
103,104,Cubone,Ground,,1013,91,http://cdn.bulbagarden.net/upload/thumb/2/2a/104Cubone.png/250px-104Cubone.png,pokeimg/Cubone.png
104,105,Marowak,Ground,,1668,107,http://cdn.bulbagarden.net/upload/thumb/9/98/105Marowak.png/250px-105Marowak.png,pokeimg/Marowak.png
105,106,Hitmonlee,Fighting,,1503,91,http://cdn.bulbagarden.net/upload/thumb/3/32/106Hitmonlee.png/250px-106Hitmonlee.png,pokeimg/Hitmonlee.png
106,107,Hitmonchan,Fighting,,1527,91,http://cdn.bulbagarden.net/upload/thumb/a/a3/107Hitmonchan.png/250px-107Hitmonchan.png,pokeimg/Hitmonchan.png
107,108,Lickitung,Normal,,1638,154,http://cdn.bulbagarden.net/upload/thumb/0/00/108Lickitung.png/250px-108Lickitung.png,pokeimg/Lickitung.png
108,109,Koffing,Poison,,1160,75,http://cdn.bulbagarden.net/upload/thumb/1/17/109Koffing.png/250px-109Koffing.png,pokeimg/Koffing.png
109,110,Weezing,Poison,,2266,115,http://cdn.bulbagarden.net/upload/thumb/4/42/110Weezing.png/250px-110Weezing.png,pokeimg/Weezing.png
110,111,Rhyhorn,Ground,Rock,1190,138,http://cdn.bulbagarden.net/upload/thumb/9/9b/111Rhyhorn.png/250px-111Rhyhorn.png,pokeimg/Rhyhorn.png
111,112,Rhydon,Ground,Rock,2259,178,http://cdn.bulbagarden.net/upload/thumb/4/47/112Rhydon.png/250px-112Rhydon.png,pokeimg/Rhydon.png
112,113,Chansey,Normal,,679,408,http://cdn.bulbagarden.net/upload/thumb/c/cd/113Chansey.png/250px-113Chansey.png,pokeimg/Chansey.png
113,114,Tangela,Grass,,1752,115,http://cdn.bulbagarden.net/upload/thumb/3/3e/114Tangela.png/250px-114Tangela.png,pokeimg/Tangela.png
114,115,Kangaskhan,Normal,,2057,178,http://cdn.bulbagarden.net/upload/thumb/4/4e/115Kangaskhan.png/250px-115Kangaskhan.png,pokeimg/Kangaskhan.png
115,116,Horsea,Water,,800,59,http://cdn.bulbagarden.net/upload/thumb/5/5a/116Horsea.png/250px-116Horsea.png,pokeimg/Horsea.png
116,117,Seadra,Water,,1725,99,http://cdn.bulbagarden.net/upload/thumb/2/26/117Seadra.png/250px-117Seadra.png,pokeimg/Seadra.png
117,118,Goldeen,Water,,972,83,http://cdn.bulbagarden.net/upload/thumb/7/7b/118Goldeen.png/250px-118Goldeen.png,pokeimg/Goldeen.png
118,119,Seaking,Water,,2058,138,http://cdn.bulbagarden.net/upload/thumb/6/6a/119Seaking.png/250px-119Seaking.png,pokeimg/Seaking.png
119,120,Staryu,Water,,944,59,http://cdn.bulbagarden.net/upload/thumb/4/4f/120Staryu.png/250px-120Staryu.png,pokeimg/Staryu.png
120,121,Starmie,Water,Psychic,2197,107,http://cdn.bulbagarden.net/upload/thumb/c/cd/121Starmie.png/250px-121Starmie.png,pokeimg/Starmie.png
121,122,Mr. Mime,Psychic,Fairy,1505,75,http://cdn.bulbagarden.net/upload/thumb/e/ec/122Mr._Mime.png/250px-122Mr._Mime.png,pokeimg/Mr. Mime.png
122,123,Scyther,Bug,Flying,2088,122,http://cdn.bulbagarden.net/upload/thumb/b/ba/123Scyther.png/250px-123Scyther.png,pokeimg/Scyther.png
123,124,Jynx,Ice,Psychic,1728,115,http://cdn.bulbagarden.net/upload/thumb/7/7c/124Jynx.png/250px-124Jynx.png,pokeimg/Jynx.png
124,125,Electabuzz,Electric,,2134,115,http://cdn.bulbagarden.net/upload/thumb/d/de/125Electabuzz.png/250px-125Electabuzz.png,pokeimg/Electabuzz.png
125,126,Magmar,Fire,,2281,115,http://cdn.bulbagarden.net/upload/thumb/8/8c/126Magmar.png/250px-126Magmar.png,pokeimg/Magmar.png
126,127,Pinsir,Bug,,2137,115,http://cdn.bulbagarden.net/upload/thumb/7/71/127Pinsir.png/250px-127Pinsir.png,pokeimg/Pinsir.png
127,128,Tauros,Normal,,1857,130,http://cdn.bulbagarden.net/upload/thumb/b/b8/128Tauros.png/250px-128Tauros.png,pokeimg/Tauros.png
128,129,Magikarp,Water,,264,43,http://cdn.bulbagarden.net/upload/thumb/0/02/129Magikarp.png/250px-129Magikarp.png,pokeimg/Magikarp.png
129,130,Gyarados,Water,Flying,2708,162,http://cdn.bulbagarden.net/upload/thumb/4/41/130Gyarados.png/250px-130Gyarados.png,pokeimg/Gyarados.png
130,131,Lapras,Water,Ice,3002,218,http://cdn.bulbagarden.net/upload/thumb/a/ab/131Lapras.png/250px-131Lapras.png,pokeimg/Lapras.png
131,132,Ditto,Normal,,926,88,http://cdn.bulbagarden.net/upload/thumb/3/36/132Ditto.png/250px-132Ditto.png,pokeimg/Ditto.png
132,133,Eevee,Normal,,1084,99,http://cdn.bulbagarden.net/upload/thumb/e/e2/133Eevee.png/250px-133Eevee.png,pokeimg/Eevee.png
133,134,Vaporeon,Water,,2836,218,http://cdn.bulbagarden.net/upload/thumb/f/fd/134Vaporeon.png/250px-134Vaporeon.png,pokeimg/Vaporeon.png
134,135,Jolteon,Electric,,2155,115,http://cdn.bulbagarden.net/upload/thumb/b/bb/135Jolteon.png/250px-135Jolteon.png,pokeimg/Jolteon.png
135,136,Flareon,Fire,,2662,115,http://cdn.bulbagarden.net/upload/thumb/d/dd/136Flareon.png/250px-136Flareon.png,pokeimg/Flareon.png
136,137,Porygon,Normal,,1703,115,http://cdn.bulbagarden.net/upload/thumb/6/6b/137Porygon.png/250px-137Porygon.png,pokeimg/Porygon.png
137,138,Omanyte,Rock,Water,1127,67,http://cdn.bulbagarden.net/upload/thumb/7/79/138Omanyte.png/250px-138Omanyte.png,pokeimg/Omanyte.png
138,139,Omastar,Rock,Water,2249,122,http://cdn.bulbagarden.net/upload/thumb/4/43/139Omastar.png/250px-139Omastar.png,pokeimg/Omastar.png
139,140,Kabuto,Rock,Water,1112,59,http://cdn.bulbagarden.net/upload/thumb/f/f9/140Kabuto.png/250px-140Kabuto.png,pokeimg/Kabuto.png
140,141,Kabutops,Rock,Water,2145,107,http://cdn.bulbagarden.net/upload/thumb/2/29/141Kabutops.png/250px-141Kabutops.png,pokeimg/Kabutops.png
141,142,Aerodactyl,Rock,Flying,2180,138,http://cdn.bulbagarden.net/upload/thumb/e/e8/142Aerodactyl.png/250px-142Aerodactyl.png,pokeimg/Aerodactyl.png
142,143,Snorlax,Normal,,3135,265,http://cdn.bulbagarden.net/upload/thumb/f/fb/143Snorlax.png/250px-143Snorlax.png,pokeimg/Snorlax.png
143,144,Articuno,Ice,Flying,2999,154,http://cdn.bulbagarden.net/upload/thumb/4/4e/144Articuno.png/250px-144Articuno.png,pokeimg/Articuno.png
144,145,Zapdos,Electric,Flying,3136,154,http://cdn.bulbagarden.net/upload/thumb/e/e3/145Zapdos.png/250px-145Zapdos.png,pokeimg/Zapdos.png
145,146,Moltres,Fire,Flying,3263,154,http://cdn.bulbagarden.net/upload/thumb/1/1b/146Moltres.png/250px-146Moltres.png,pokeimg/Moltres.png
146,147,Dratini,Dragon,,990,76,http://cdn.bulbagarden.net/upload/thumb/c/cc/147Dratini.png/250px-147Dratini.png,pokeimg/Dratini.png
147,148,Dragonair,Dragon,,1760,108,http://cdn.bulbagarden.net/upload/thumb/9/93/148Dragonair.png/250px-148Dragonair.png,pokeimg/Dragonair.png
148,149,Dragonite,Dragon,Flying,3525,156,http://cdn.bulbagarden.net/upload/thumb/8/8b/149Dragonite.png/250px-149Dragonite.png,pokeimg/Dragonite.png
149,150,Mewtwo,Psychic,,4174,180,http://cdn.bulbagarden.net/upload/thumb/7/78/150Mewtwo.png/250px-150Mewtwo.png,pokeimg/Mewtwo.png
150,151,Mew,Psychic,,3322,170,http://cdn.bulbagarden.net/upload/thumb/b/b1/151Mew.png/250px-151Mew.png,pokeimg/Mew.png
